   Step          Temp          Press          Volume         PotEng         KinEng         TotEng        Enthalpy   
    160000   10028.32       915405.44      8000          -1735.6883      1025.3433     -710.34493      3860.4645    
    161000   9732.9244      921428.74      8000          -1716.3628      995.14066     -721.22212      3879.6629    
    162000   10095.325      906940.83      8000          -1764.2332      1032.1942     -732.03895      3796.5049    
    163000   9781.0888      907891.82      8000          -1742.7738      1000.0652     -742.70861      3790.5838    
    164000   9852.9796      907002.23      8000          -1760.7932      1007.4157     -753.37756      3775.4729    
    165000   9623.3725      908196.24      8000          -1747.8476      983.93955     -763.90802      3770.9044    
    166000   9944.26        893017.74      8000          -1791.0604      1016.7486     -774.31177      3684.7113    
    167000   9503.6882      903525.92      8000          -1756.2364      971.70245     -784.53398      3726.9586    
    168000   9351.3527      902834.32      8000          -1750.7999      956.12695     -794.67294      3713.3663    
    169000   9539.5113      893239.16      8000          -1780.2106      975.36518     -804.84544      3655.2832    
    170000   9366.523       896300.38      8000          -1772.4597      957.67804     -814.78165      3660.6323    
    171000   9297.8421      887848.08      8000          -1775.3451      950.65577     -824.68929      3608.5206    
    172000   9169.2479      889954.23      8000          -1772.0313      937.50769     -834.52363      3609.2027    
    173000   9076.7215      895387.63      8000          -1772.4399      928.04734     -844.3926       3626.4638    
    174000   9104.7013      885768.16      8000          -1785.0208      930.90813     -854.11267      3568.7117    
    175000   8904.9874      884099.98      8000          -1774.2485      910.48843     -863.7601       3550.7347    
    176000   8748.6253      889615.84      8000          -1767.7766      894.50122     -873.27533      3568.7613    
    177000   8798.0471      880351.87      8000          -1782.3077      899.55434     -882.75331      3513.0264    
    178000   8798.2861      882259.14      8000          -1791.7821      899.57878     -892.2033       3513.0998    
    179000   8851.1901      871292.48      8000          -1806.5476      904.98794     -901.55964      3448.9846    
    180000   8434.2443      879884.14      8000          -1773.0566      862.35741     -910.69918      3482.7451    
    181000   8536.6087      874450.7       8000          -1792.6918      872.82363     -919.86821      3446.4458    
    182000   8762.0171      863808.05      8000          -1824.8556      895.87046     -928.9851       3384.1879    
    183000   8689.762       863187.19      8000          -1826.4709      888.48276     -937.98818      3372.0847    
    184000   8592.1594      862095.38      8000          -1825.4284      878.50341     -946.92497      3357.6963    
    185000   8432.4523      863805.69      8000          -1817.8736      862.17419     -955.69945      3357.4618    
