#	Time-averaged	data	for	fix	savemsd
#	TimeStep	c_msd[1]	c_msd[2]	c_msd[3]	c_msd[4]
323000	25.396	32.2872	262.028	319.711
324000	23.8791	33.4647	258.005	315.349
325000	24.146	34.3287	262.745	321.219
326000	24.5181	35.8519	264.19	324.56
327000	25.3666	33.6361	258.918	317.921
328000	26.6856	33.5222	261.561	321.769
329000	27.7161	33.9846	265.823	327.523
330000	27.8991	33.6093	266.746	328.254
331000	29.1757	34.2526	264.852	328.28
332000	25.5795	33.012	270.817	329.409
333000	26.9532	34.6314	264.29	325.875
334000	27.7621	34.1076	271.26	333.13
335000	27.9209	33.9507	268.712	330.583
336000	30.5416	32.6915	268.173	331.406
337000	27.26	33.9866	269.171	330.418
338000	27.3064	33.1793	268.856	329.341
339000	26.3109	35.7078	273.103	335.121
340000	25.8032	37.057	279.043	341.903
341000	24.1554	40.1584	278.974	343.288
342000	24.0681	37.9965	270.929	332.993
343000	23.3821	38.9403	270.208	332.53
344000	21.4239	39.7043	276.23	337.358
345000	24.1407	37.4651	275.451	337.057
346000	27.227	36.9049	266.71	330.842
347000	27.3158	35.1752	273.504	335.995
348000	28.2705	35.6567	266.395	330.322
349000	28.2761	33.3093	278.639	340.224
350000	34.1745	30.7979	280.284	345.256
351000	37.2607	30.9386	280.79	348.989
352000	40.7573	30.0287	284.296	355.082
353000	42.0701	28.9423	288.139	359.151
354000	36.8275	29.0152	292.885	358.727
355000	34.1504	29.0176	287.028	350.196
356000	39.1027	27.4708	284.957	351.531
357000	33.4018	27.0509	284.512	344.964
358000	31.5827	27.1643	290.349	349.096
359000	30.9867	25.7298	294.134	350.85
360000	28.7781	28.7238	290.557	348.059
361000	27.8725	28.386	291.788	348.047
362000	25.0591	29.5537	296.072	350.685
363000	24.2374	31.8495	289.791	345.878
364000	23.046	33.5725	283.158	339.777
365000	21.5163	33.1768	289.569	344.262
366000	22.4315	33.2599	280.651	336.342
367000	22.3235	30.1599	283.329	335.813
368000	20.5047	29.1247	292.306	341.935
369000	21.1117	33.0734	290.51	344.695
370000	21.6744	33.4169	289.861	344.953
371000	21.4281	33.1999	291.417	346.045
372000	19.1998	33.5585	287.499	340.257
373000	20.6143	35.1999	288.902	344.716
374000	20.3417	38.9689	288.475	347.786
375000	21.8807	41.2837	296.743	359.908
376000	24.9652	38.9101	299.349	363.224
