   Step          Temp          E_pair         E_mol          TotEng         Press     
    960000   2963.5613     -2875.8841      0             -2545.2944     -1597.2267    
    963000   2951.9209     -2878.3578      0             -2549.0666     -3197.2443    
    966000   3247.5971     -2878.865       0             -2516.5907     -2398.5216    
    969000   2974.8302     -2887.3581      0             -2555.5113     -9583.0708    
    972000   2986.8965     -2869.2021      0             -2536.0093      121.46101    
    975000   2986.6059     -2888.9786      0             -2555.8182     -8884.4383    
    978000   2993.5486     -2877.5817      0             -2543.6469     -2584.9822    
    981000   3056.2022     -2879.8233      0             -2538.8994     -5134.9552    
    984000   3056.9916     -2877.6833      0             -2536.6713     -2461.0435    
    987000   2996.8193     -2878.339       0             -2544.0393     -3122.9449    
    990000   3035.9191     -2878.6678      0             -2540.0064     -3291.8112    
    993000   2986.7342     -2881.7561      0             -2548.5814     -4995.3207    
    996000   2984.9778     -2876.7394      0             -2543.7606     -1897.033     
    999000   2907.5685     -2885.8315      0             -2561.4878     -10252.029    
   1000000   2905.3126     -2876.4774      0             -2552.3855     -2170.3698    
