   Step          Temp          Press          Volume         PotEng         KinEng         TotEng        Enthalpy   
    171000   2944.1079      221.94964      12419.207     -2885.6233      328.41967     -2557.2037     -2555.4832    
    172000   3009.4987      58.808657      12419.207     -2885.7645      335.71411     -2550.0504     -2549.5945    
    173000   3036.209       1375.3863      12419.207     -2882.8399      338.69368     -2544.1463     -2533.485     
    174000   3148.7971      4634.8917      12419.207     -2877.8004      351.25306     -2526.5474     -2490.6202    
    175000   3005.1695     -2342.7709      12419.207     -2888.9021      335.23118     -2553.6709     -2571.8308    
    176000   3013.5996     -7069.7391      12419.207     -2898.9103      336.17157     -2562.7387     -2617.5395    
    177000   3029.1888     -7.2796061      12419.207     -2886.7493      337.91057     -2548.8387     -2548.8952    
    178000   3064.5185      3732.3565      12419.207     -2883.7869      341.85165     -2541.9352     -2513.004     
    179000   2976.4793      83.589075      12419.207     -2883.6327      332.03074     -2551.602      -2550.954     
    180000   3027.9582      1499.3195      12419.207     -2884.601       337.77329     -2546.8277     -2535.2058    
    181000   2959.6336     -1206.2951      12419.207     -2885.9042      330.15158     -2555.7526     -2565.1031    
    182000   3122.8143     -2550.8959      12419.207     -2891.6128      348.35463     -2543.2582     -2563.0313    
    183000   2997.9481     -2798.7337      12419.207     -2888.8307      334.42562     -2554.4051     -2576.0994    
    184000   3001.8055     -15.834756      12419.207     -2883.4305      334.85592     -2548.5746     -2548.6973    
    185000   2892.6886      331.75736      12419.207     -2883.415       322.68376     -2560.7313     -2558.1597    
    186000   2977.3104     -3184.9263      12419.207     -2888.8939      332.12346     -2556.7704     -2581.4582    
    187000   2942.6938     -7127.6853      12419.207     -2896.1184      328.26192     -2567.8565     -2623.1065    
    188000   3021.4698      5343.4159      12419.207     -2875.1859      337.04951     -2538.1364     -2496.7171    
    189000   3060.6193      945.36303      12419.207     -2885.8763      341.41669     -2544.4597     -2537.1317    
    190000   2942.1548     -3699.8195      12419.207     -2891.0089      328.2018      -2562.8071     -2591.4861    
    191000   2917.0133     -2361.1564      12419.207     -2889.3825      325.39723     -2563.9852     -2582.2876    
    192000   2969.2393      3053.9104      12419.207     -2879.1574      331.22311     -2547.9343     -2524.262     
    193000   2947.5017     -1837.8038      12419.207     -2888.6496      328.79825     -2559.8513     -2574.097     
    194000   2959.7615      5271.5443      12419.207     -2872.9485      330.16585     -2542.7827     -2501.9205    
    195000   2980.0025     -1387.4038      12419.207     -2886.2594      332.42376     -2553.8356     -2564.59      
    196000   3019.2367     -5369.0468      12419.207     -2900.0926      336.80039     -2563.2922     -2604.9102    
    197000   3094.6225     -89.285823      12419.207     -2888.0625      345.2098      -2542.8527     -2543.5447    
    198000   2896.0187      792.79167      12419.207     -2876.1963      323.05525     -2553.141      -2546.9957    
    199000   2920.6187      202.51714      12419.207     -2881.6782      325.79942     -2555.8788     -2554.309     
    200000   3007.6157     -3878.4941      12419.207     -2889.9463      335.50406     -2554.4422     -2584.5062    
    201000   2932.4738      5672.7073      12419.207     -2870.1729      327.12187     -2543.0511     -2499.0793    
    202000   2959.9116     -1266.5307      12419.207     -2885.6525      330.1826      -2555.4699     -2565.2874    
    203000   2943.4716     -2271.2747      12419.207     -2884.8174      328.34868     -2556.4687     -2574.0744    
    204000   3017.9178     -679.58591      12419.207     -2885.568       336.65327     -2548.9147     -2554.1825    
    205000   2912.4767      57.212236      12419.207     -2882.5565      324.89116     -2557.6653     -2557.2219    
    206000   2873.5393     -3719.3902      12419.207     -2887.871       320.54764     -2567.3234     -2596.1541    
    207000   3016.6219      390.61034      12419.207     -2886.0175      336.50872     -2549.5088     -2546.481     
    208000   2964.4175      2667.1613      12419.207     -2878.5781      330.68523     -2547.8929     -2527.2185    
    209000   2929.7322      3935.8428      12419.207     -2878.3328      326.81604     -2551.5167     -2521.0082    
    210000   3029.5566      3808.7186      12419.207     -2878.0018      337.9516      -2540.0502     -2510.5271    
    211000   3045.8722     -1310.8985      12419.207     -2887.5635      339.77162     -2547.7919     -2557.9533    
    212000   2922.2177      4336.7339      12419.207     -2876.7162      325.97778     -2550.7385     -2517.1224    
    213000   2794.4903     -1537.2492      12419.207     -2882.3782      311.7296      -2570.6486     -2582.5646    
    214000   2977.8465     -7635.7303      12419.207     -2901.8044      332.18326     -2569.6212     -2628.8092    
    215000   2915.7444      4091.4674      12419.207     -2877.4849      325.25568     -2552.2292     -2520.5144    
    216000   3015.1214     -773.95157      12419.207     -2888.2016      336.34133     -2551.8603     -2557.8595    
    217000   3066.5938      8779.0772      12419.207     -2872.6505      342.08315     -2530.5673     -2462.5166    
    218000   2887.647      -7289.9125      12419.207     -2895.1717      322.12137     -2573.0504     -2629.5578    
    219000   2919.0389     -3494.0974      12419.207     -2886.9936      325.62318     -2561.3705     -2588.4548    
    220000   2909.5877      4633.6174      12419.207     -2874.0687      324.56889     -2549.4998     -2513.5825    
    221000   3061.6329     -6542.2603      12419.207     -2898.554       341.52976     -2557.0242     -2607.7363    
    222000   3007.7703     -2392.2468      12419.207     -2892.548       335.52131     -2557.0267     -2575.5701    
    223000   3053.5546      2021.429       12419.207     -2882.6374      340.62861     -2542.0088     -2526.3398    
    224000   3095.8105      6426.9612      12419.207     -2874.8522      345.34232     -2529.5098     -2479.6915    
    225000   3188.0996      953.55435      12419.207     -2890.2623      355.63731     -2534.625      -2527.2336    
    226000   3091.1847     -2348.0954      12419.207     -2890.6747      344.8263      -2545.8484     -2564.0495    
    227000   2956.5833      6184.9141      12419.207     -2871.4733      329.81132     -2541.6619     -2493.7198    
    228000   2984.5469      4199.4625      12419.207     -2877.3882      332.93069     -2544.4575     -2511.9055    
    229000   3066.5738      4899.6329      12419.207     -2878.2355      342.08092     -2536.1545     -2498.1752    
    230000   2952.675      -1740.3971      12419.207     -2884.6076      329.37534     -2555.2322     -2568.7228    
    231000   3038.8066     -3556.8903      12419.207     -2892.2957      338.98344     -2553.3122     -2580.8833    
    232000   3047.7864      709.45862      12419.207     -2884.0723      339.98516     -2544.0871     -2538.5878    
    233000   2994.4589      1116.6653      12419.207     -2886.5549      334.0364      -2552.5185     -2543.8627    
    234000   2822.7713     -3148.7389      12419.207     -2890.0305      314.88439     -2575.1461     -2599.5534    
    235000   2922.7023      3055.646       12419.207     -2870.0081      326.03184     -2543.9763     -2520.2905    
